station_id,lat,lon,population_1500m
634,46.805413,7.165191,27016
733,46.461609,6.346166,8562
764,46.470818,6.336435,7026
459,46.958241,7.4474859,41259
594,46.9644796,7.466948,25961
832,46.025237,8.963681,628
48,46.0105808,8.95794,0
586,46.020198,8.97169,0
154,47.372329,8.52714,71601
385,47.368939,8.523306,69443
514,47.397885,8.596202,28333
279,47.39808,8.533647,56545
831,47.394686,8.478455,37946
280,47.392347,8.523549,58037
107,47.365139,8.530916,51183
421,46.9229774,7.4141121,20170
139,47.410618,8.55189,51931
701,47.375522,8.547696,46426
485,46.9432858,7.4144036,33280
181,46.9378963,7.3954739,29049
178,46.9372059,7.3872274,29505
118,46.96845,7.46242,23616
827,47.405478,8.481071,24471
555,46.946839,7.4556,38530
316,46.9446775,7.4432641,44598
502,46.79435,7.14049,25081
363,47.416155,8.541712,50861
396,47.409881,8.535767,43637
778,46.81077819593714,7.139183090960676,23575
190,46.9603316,7.4614522,33370
94,47.3758639,8.5354006,61236
540,47.403822,8.546464,50705
20,46.506896,6.626253,25439
643,46.79704596417351,7.150607035291654,28969
599,46.33296,6.19293,3542
606,46.31526,6.19271,239
304,46.9429736,7.4302386,44789
431,47.362209,8.510788,53371
274,47.375991201,8.541239126,54270
320,46.946466,7.452518,40924
301,46.9440348,7.4120405,31811
830,46.90080888317644,7.401061091966004,4350
161,46.38278,6.24357,16738
324,46.94588,7.41549,33180
102,47.3897772,8.5166922,59454
108,47.386741,8.518982,68525
473,46.9491966,7.445947,49310
101,47.3625938,8.5348427,41936
39,46.52804418,6.59119606,42518
310,46.959334038741154,7.434909268498735,31046
663,46.951897864484735,7.442042659901252,47994
484,46.9456022,7.434734,46321
333,46.936635808279966,7.475831165818141,22783
448,47.379686,8.501312,72796
536,47.381591,8.49038,56062
682,46.938845,7.4210796,38432
420,46.9356189,7.4165883,34539
326,46.9478691,7.4598938,38095
666,46.99731130490829,7.458796441962296,12264
158,47.373675,8.545505,48018
377,46.0121344,8.9657021,0
322,46.9347023,7.4420357,32305
98,47.3731102,8.5333139,60131
640,46.795871,7.156473,25750
509,46.796171649939694,7.143346608386447,26472
460,46.9662414,7.4558243,29635
202,46.9565421,7.4317735,29226
879,46.84898,9.5145,21644
872,46.85311,9.52903,31613
489,46.523333,6.625402,77055
358,47.397293,8.541453,55278
138,47.375933,8.543447,51518
481,46.9320203,7.4330474,38462
291,46.9635131,7.4555218,30919
162,46.38347,6.2137814,14586
458,46.9458027,7.4729321,31697
836,46.510153,6.558052,6631
877,46.97422346344607,7.476819763848439,15399
313,46.9415535,7.4708855,28465
475,46.9475304,7.4521275,42449
554,46.95251,7.467399,39626
633,46.77787,7.15074,8909
587,46.005806,8.957374,0
545,46.943536,7.463293,32641
641,46.81288,7.11461,7737
639,46.015758,8.971604,0
262,46.9416249,7.4631929,31854
257,46.9480422,7.4502406,45609
238,46.7804953,7.1505764,10245
828,46.941794,7.390649,31491
835,46.95884778357857,7.429204058387358,22639
428,47.40158,8.58841,30514
232,46.9441328,7.449692,38659
503,46.809589,7.14687,27718
227,46.9545136,7.4294963,30135
466,46.9486216,7.3827534,27560
198,46.9439597,7.3746103,20923
834,46.947649789766224,7.416924289192128,32573
508,46.80295,7.15966,29934
440,46.0166117,8.9596513,0
380,46.0090116,8.9638054,0
790,46.52112812235608,6.64036369203716,67229
581,46.514554,6.619263,49865
254,46.9486345,7.4567436,41139
560,47.376467,8.526609,73286
83,47.358663827,8.520370505,45769
661,47.36910680440694,8.541427242856333,42617
700,46.53125489706996,6.601886023564116,56996
239,46.7931454,7.1322764,20546
357,47.370141,8.527298,67988
89,47.3713591,8.5313344,63295
332,46.943804,7.4694264,30436
130,47.391366,8.488108,47269
444,47.375247,8.496511,66027
840,46.80036467702836,7.175555914805134,12756
296,46.9439259,7.3853056,30088
329,46.94167,7.42598,42093
23,46.5175143,6.5261484,10779
