station_id,lat,lon,coords,atms_count,atms_nearest_distance,bakeries_count,bakeries_nearest_distance,banks_count,banks_nearest_distance,bars_count,bars_nearest_distance,bike_parking_count,bike_parking_nearest_distance,bike_rental_count,bike_rental_nearest_distance,bike_shops_count,bike_shops_nearest_distance,bookstores_count,bookstores_nearest_distance,bus_stops_count,bus_stops_nearest_distance,cafes_count,cafes_nearest_distance,cinemas_count,cinemas_nearest_distance,clinics_count,clinics_nearest_distance,clothing_stores_count,clothing_stores_nearest_distance,convenience_stores_count,convenience_stores_nearest_distance,dentists_count,dentists_nearest_distance,electronics_stores_count,electronics_stores_nearest_distance,fitness_centres_count,fitness_centres_nearest_distance,fuel_count,fuel_nearest_distance,general_offices_count,general_offices_nearest_distance,general_shops_count,general_shops_nearest_distance,government_offices_count,government_offices_nearest_distance,hospitals_count,hospitals_nearest_distance,hotels_count,hotels_nearest_distance,leisure_general_count,leisure_general_nearest_distance,libraries_count,libraries_nearest_distance,museums_count,museums_nearest_distance,offices_count,offices_nearest_distance,parking_count,parking_nearest_distance,parks_count,parks_nearest_distance,personal_services_count,personal_services_nearest_distance,pharmacies_count,pharmacies_nearest_distance,playgrounds_count,playgrounds_nearest_distance,police_count,police_nearest_distance,postal_services_count,postal_services_nearest_distance,public_toilets_count,public_toilets_nearest_distance,public_transport_general_count,public_transport_general_nearest_distance,railway_general_count,railway_general_nearest_distance,religious_count,religious_nearest_distance,restaurants_count,restaurants_nearest_distance,schools_count,schools_nearest_distance,shopping_centers_count,shopping_centers_nearest_distance,sports_centres_count,sports_centres_nearest_distance,stadiums_count,stadiums_nearest_distance,supermarkets_count,supermarkets_nearest_distance,swimming_pools_count,swimming_pools_nearest_distance,theatres_count,theatres_nearest_distance,tourism_general_count,tourism_general_nearest_distance,tourist_attractions_count,tourist_attractions_nearest_distance,tourist_info_count,tourist_info_nearest_distance,train_stations_count,train_stations_nearest_distance,train_stops_count,train_stops_nearest_distance,tram_stops_count,tram_stops_nearest_distance,transit_platforms_count,transit_platforms_nearest_distance,transit_stations_count,transit_stations_nearest_distance,transit_stops_count,transit_stops_nearest_distance,universities_count,universities_nearest_distance,viewpoints_count,viewpoints_nearest_distance,total_features,population_500m
122,46.9613082,7.4466679,"(46.9613082, 7.4466679)",0,500.0,0,500.0,0,500.0,3,172.86442504637964,12,55.13531608662864,6,0.6119990352801149,4,153.37865726462488,0,500.0,0,500.0,2,398.170578483626,0,500.0,0,500.0,2,383.79013106421047,7,189.70215036588857,0,500.0,0,500.0,2,255.95847583964851,1,490.1068124930303,9,90.40030311788742,11,155.46383479925902,0,500.0,0,500.0,0,500.0,17,213.46974808949156,0,500.0,1,367.8199516489047,6,231.4662259323997,1,39.76541743695063,0,500.0,9,80.95156063725244,1,371.4033501820894,1,422.3695843463853,0,500.0,0,500.0,5,168.05048985941207,0,500.0,26,101.92966748233953,1,164.4358194889378,13,20.088926699059414,0,500.0,0,500.0,1,410.3155433594335,0,500,2,479.66071828298607,0,500.0,1,450.7215320538376,0,500.0,0,500.0,1,453.3226159345744,0,500.0,0,500.0,0,500.0,3,440.9478450276554,0,500,13,133.8404982430741,0,500.0,0,500.0,161,7599
462,46.9558281,7.4529965,"(46.9558281, 7.4529965)",3,153.2055665576592,4,75.82785519297047,0,500.0,3,213.45698199193183,18,130.14715673461498,12,1.7045334996860195,3,27.725373827196744,0,500.0,0,500.0,7,85.38751499787645,1,126.53364690575678,0,500.0,7,77.39681911133788,2,380.0535350133472,2,292.7742410179077,2,320.36590820544603,3,173.95530471783175,1,421.2024154839237,18,149.34272204223407,62,66.68788418288467,4,293.4468684882422,0,500.0,5,48.79482027391887,10,241.4538168710528,1,413.0287249059056,1,422.61472553930287,12,164.849232980748,4,207.1702775119272,0,500.0,19,64.66406888728332,2,242.3081105932349,1,160.4660413455588,0,500.0,0,500.0,3,342.85957568658574,0,500.0,29,100.3948690020094,0,500.0,26,78.40743166707979,1,393.0715560375468,0,500.0,0,500.0,0,500,5,194.399004070082,0,500.0,2,411.7176408476275,1,490.5804489841656,0,500.0,1,371.73690108368913,0,500.0,0,500.0,6,107.8091988696646,0,500.0,0,500,13,187.7680033087304,0,500.0,0,500.0,294,10221
216,46.9538192,7.4581813,"(46.9538192, 7.4581813)",0,500.0,1,479.9094133280138,0,500.0,0,500.0,6,42.63452992925507,5,2.959988861540382,5,136.23192227016563,0,500.0,0,500.0,1,432.2836513503316,0,500.0,0,500.0,1,497.0337277751552,1,172.7080582731366,1,167.84969842213374,0,500.0,1,59.51811578951787,1,167.40171051877178,7,122.8678934656788,17,16.388504490947188,6,241.79381123272944,0,500.0,5,69.6761477885121,7,134.52218563568468,2,222.57081681422045,0,500.0,6,129.05033309998876,1,326.97216574328894,0,500.0,6,102.62151291152772,0,500.0,3,177.59972258600072,0,500.0,0,500.0,2,161.20921222774143,0,500.0,0,500.0,0,500.0,9,22.681711847025444,0,500.0,1,442.9472895534556,0,500.0,0,500,2,81.64396826778722,0,500.0,0,500.0,1,250.31533993426476,0,500.0,4,344.1012104936186,0,500.0,0,500.0,0,500.0,0,500.0,0,500,8,29.47920109480885,0,500.0,1,283.7696564630196,111,5693
334,46.520202,6.571784,"(46.520202, 6.571784)",3,231.35833270439824,0,500.0,0,500.0,2,304.86589714180616,36,31.9275336428313,3,2.7307432972658847,0,500.0,1,377.8356041012782,0,500.0,4,92.8455549136161,0,500.0,0,500.0,0,500.0,1,282.8433553812114,0,500.0,0,500.0,0,500.0,0,500.0,4,289.68751863315947,4,252.33509931275572,0,500.0,0,500.0,1,494.8759212084783,5,153.54062605571085,2,322.62625580164604,0,500.0,0,500.0,0,500.0,0,500.0,1,486.3930747569391,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,41,178.1333983096015,0,500.0,9,201.4246963472138,0,500.0,0,500.0,0,500.0,0,500,0,500.0,0,500.0,0,500.0,9,235.40151578732983,0,500.0,13,107.6361247002754,1,484.5867851248928,1,250.0820735389704,0,500.0,2,231.42545799573736,0,500,13,23.78697568404184,0,500.0,2,419.3952251946367,158,1050
9,46.519805,6.579676,"(46.519805, 6.579676)",0,500.0,0,500.0,1,413.8304343167782,0,500.0,6,36.50258736934543,2,2.4287939494394264,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,2,415.80609427015054,0,500.0,0,500.0,0,500.0,6,126.88874612794098,4,221.7136892828004,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,2,92.68644182233746,0,500.0,0,500.0,0,500.0,6,97.54678013748212,0,500.0,0,500.0,0,500.0,0,500,0,500.0,0,500.0,0,500.0,1,491.128812711252,0,500.0,5,304.4317740465476,0,500.0,0,500.0,0,500.0,0,500.0,0,500,4,158.52876678545843,0,500.0,1,433.91050142668456,40,269
21,46.521043,6.573253,"(46.521043, 6.573253)",1,362.11371275022185,1,361.6761421669443,0,500.0,2,348.3291491386636,33,16.634993264591063,3,4.00443962585446,0,500.0,0,500.0,0,500.0,4,184.71645407612252,0,500.0,0,500.0,0,500.0,2,396.1726626654268,0,500.0,0,500.0,0,500.0,0,500.0,2,405.4478600198212,3,112.68101045619646,0,500.0,0,500.0,0,500.0,4,88.23602530250746,2,293.82834774132635,0,500.0,0,500.0,0,500.0,0,500.0,1,434.166836349157,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,0,500.0,37,133.64153342506611,0,500.0,6,59.155867456337255,0,500.0,0,500.0,0,500.0,0,500,0,500.0,0,500.0,0,500.0,5,350.01905232416016,0,500.0,8,121.21254804996396,0,500.0,1,131.21402087551812,0,500.0,2,104.7420157146174,0,500,9,117.661560670699,0,500.0,0,500.0,126,961
114,46.9566007,7.4402185,"(46.9566007, 7.4402185)",1,24.462065570998742,2,263.3139355564686,0,500.0,3,344.1556200758975,21,201.98693588126707,8,0.6829508363760625,2,216.62131322566407,1,408.2328163217383,0,500.0,4,300.39740577838904,1,374.0918040820995,0,500.0,3,331.1844903751046,6,340.402551425399,1,216.5010615993978,1,321.6601128496366,2,417.8196838346906,1,319.4488406290848,15,205.82578915166627,15,210.349300801032,0,500.0,0,500.0,0,500.0,17,165.02125911128067,4,340.3188514030121,0,500.0,3,119.71932282218285,3,228.94125879515735,0,500.0,9,194.39131118166097,0,500.0,1,390.76523170847855,0,500.0,0,500.0,9,167.74743458301427,0,500.0,35,201.23989202202907,2,347.1279063101663,20,33.914903258196965,1,396.4380863659225,0,500.0,3,225.9386209312456,0,500,1,495.3279367897343,0,500.0,1,388.2664824221968,2,397.2171400579042,0,500.0,6,176.26177661276114,0,500.0,0,500.0,0,500.0,6,167.7609174186883,0,500,4,168.31470558711385,14,283.0169757258564,0,500.0,228,6769
217,46.9483305,7.44079,"(46.9483305, 7.44079)",33,23.358599599019307,13,27.505810162210047,15,23.33794763795357,29,107.04757033707703,53,84.55725405395023,17,9.947634368198289,5,212.7436113411112,4,103.91729507944024,0,500.0,30,43.29779999692154,8,75.96723764970123,3,172.84288914243112,62,48.35436230219689,4,113.3076538732149,8,87.87555216916434,4,201.21432371076676,5,187.244425019002,0,500.0,65,69.24679443605775,229,26.3972679127226,16,96.98549697373087,0,500.0,13,57.34648281153543,28,162.602709153951,5,143.36503858217634,2,240.20867076277497,8,99.52491846968697,1,243.21399878402715,0,500.0,43,56.82238263282567,10,90.43045182937058,0,500.0,2,101.09903646210395,2,208.68945631938576,11,8.321991984180316,1,468.43944444884994,259,61.31057128395879,6,311.1047859285546,118,41.253868762892616,3,319.69814992120416,4,90.1269987057725,3,397.7298775614623,0,500,17,85.00127551635357,0,500.0,4,178.64307530480568,7,307.0862314152442,1,347.1017977767656,24,48.48046679817079,1,90.30101182624364,2,289.05296576973296,10,77.93342664179755,28,43.50510322948614,0,500,40,40.99876026216253,3,310.0485847511326,3,309.17171451986746,1262,2258
152,47.389823,8.49163,"(47.389823, 8.49163)",5,81.0342871677897,4,317.1993952079064,3,417.2250664864296,3,223.77740897186803,44,77.43844546264745,5,13.399357455362924,0,500.0,1,392.12668496868025,0,500.0,7,118.12097705149976,0,500.0,1,453.5670684692661,4,374.913541577356,6,73.92686183508008,4,209.4453537852343,0,500.0,6,173.67442523416184,4,64.07337680290586,20,48.88587554835094,59,55.576143947711785,3,91.5755139285915,0,500.0,0,500.0,23,55.441312211473615,0,500.0,0,500.0,14,124.7012144760172,4,225.01394557135424,0,500.0,12,168.61323347918486,3,243.36808087387007,4,63.12649589089703,0,500.0,1,344.8034008598092,6,306.204228140969,0,500.0,226,97.88684269189352,0,500.0,40,178.3104133632087,5,36.44816252033304,1,332.73274494499145,3,198.97063800467276,0,500,7,290.28665980413234,0,500.0,1,494.8038800610104,4,200.3351732491212,0,500.0,17,89.27945248831558,1,239.75177412001608,0,500.0,10,262.714738536702,10,170.08254325895976,0,500,15,168.90474521906148,0,500.0,0,500.0,586,7703
455,47.385711,8.499287,"(47.385711, 8.499287)",3,94.73478995644518,0,500.0,3,88.73256608080936,1,290.17627114513937,41,7.52639388015804,3,2.748013813622722,1,203.3523351107472,1,83.70022234466676,0,500.0,3,57.310281059321056,0,500.0,1,287.77217458188875,8,33.59226267094742,4,224.4018890677605,2,260.3205492973038,2,73.32558114091002,5,221.50075275826043,2,207.4337909794625,55,135.99034330553178,51,26.272795147514003,1,251.09962618281355,0,500.0,1,375.9341768405591,13,120.6840204869862,0,500.0,0,500.0,30,250.82445512459495,4,215.58087629870155,0,500.0,6,22.941099733629382,1,62.16496024260483,2,133.6448199660209,0,500.0,0,500.0,3,50.73298387544595,0,500.0,105,213.96767025169652,0,500.0,22,53.77757986427415,3,232.5789425626969,1,112.92332249966856,1,467.5972067556908,0,500,4,38.93742984707784,0,500.0,0,500.0,3,247.3807965120881,0,500.0,4,94.2589753922625,0,500.0,0,500.0,4,274.18077969425366,10,203.8711507745529,0,500,10,209.6371630021097,0,500.0,0,500.0,414,7699
