station_id,lat,lon,coords,atms_count,atms_nearest_distance,bakeries_count,bakeries_nearest_distance,banks_count,banks_nearest_distance,bars_count,bars_nearest_distance,bike_parking_count,bike_parking_nearest_distance,bike_rental_count,bike_rental_nearest_distance,bike_shops_count,bike_shops_nearest_distance,bookstores_count,bookstores_nearest_distance,bus_stops_count,bus_stops_nearest_distance,cafes_count,cafes_nearest_distance,cinemas_count,cinemas_nearest_distance,clinics_count,clinics_nearest_distance,clothing_stores_count,clothing_stores_nearest_distance,convenience_stores_count,convenience_stores_nearest_distance,dentists_count,dentists_nearest_distance,electronics_stores_count,electronics_stores_nearest_distance,fitness_centres_count,fitness_centres_nearest_distance,fuel_count,fuel_nearest_distance,general_offices_count,general_offices_nearest_distance,general_shops_count,general_shops_nearest_distance,government_offices_count,government_offices_nearest_distance,hospitals_count,hospitals_nearest_distance,hotels_count,hotels_nearest_distance,leisure_general_count,leisure_general_nearest_distance,libraries_count,libraries_nearest_distance,museums_count,museums_nearest_distance,offices_count,offices_nearest_distance,parking_count,parking_nearest_distance,parks_count,parks_nearest_distance,personal_services_count,personal_services_nearest_distance,pharmacies_count,pharmacies_nearest_distance,playgrounds_count,playgrounds_nearest_distance,police_count,police_nearest_distance,postal_services_count,postal_services_nearest_distance,public_toilets_count,public_toilets_nearest_distance,public_transport_general_count,public_transport_general_nearest_distance,railway_general_count,railway_general_nearest_distance,religious_count,religious_nearest_distance,restaurants_count,restaurants_nearest_distance,schools_count,schools_nearest_distance,shopping_centers_count,shopping_centers_nearest_distance,sports_centres_count,sports_centres_nearest_distance,stadiums_count,stadiums_nearest_distance,supermarkets_count,supermarkets_nearest_distance,swimming_pools_count,swimming_pools_nearest_distance,theatres_count,theatres_nearest_distance,tourism_general_count,tourism_general_nearest_distance,tourist_attractions_count,tourist_attractions_nearest_distance,tourist_info_count,tourist_info_nearest_distance,train_stations_count,train_stations_nearest_distance,train_stops_count,train_stops_nearest_distance,tram_stops_count,tram_stops_nearest_distance,transit_platforms_count,transit_platforms_nearest_distance,transit_stations_count,transit_stations_nearest_distance,transit_stops_count,transit_stops_nearest_distance,universities_count,universities_nearest_distance,viewpoints_count,viewpoints_nearest_distance,total_features
122,46.9613082,7.4466679,"(46.9613082, 7.4466679)",5,548.5512780700923,6,536.6638269391798,1,631.2345093304355,7,172.86442504637964,47,55.135316086628634,25,0.6119990352801149,8,153.37865726462488,1,644.0215478830485,0,1000.0,11,398.170578483626,1,678.0864550227893,0,1000.0,15,383.79013106421047,10,189.70215036588857,2,812.0217845785246,3,629.5705414159585,5,255.95847583964854,4,490.1068124930303,37,90.40030311788742,94,155.46383479925902,7,666.5887501544396,0,1000.0,7,550.4384876448029,49,213.46974808949153,3,683.5206417133182,1,367.8199516489047,21,231.46622593239974,8,39.76541743695063,0,1000.0,43,80.95156063725244,4,371.4033501820894,5,422.3695843463853,0,1000.0,1,567.4160635334442,14,168.05048985941207,0,1000.0,100,101.92966748233953,1,164.4358194889378,58,20.088926699059414,2,514.2852661421875,0,1000.0,5,410.3155433594335,0,1000,7,479.66071828298607,0,1000.0,2,450.72153205383756,6,628.8412410108351,0,1000.0,21,453.32261593457434,1,842.2643603779732,0,1000.0,8,672.7149932963786,20,440.94784502765543,0,1000.0,44,133.8404982430741,8,869.5298345173156,1,514.9073228944508,729
462,46.9558281,7.4529965,"(46.9558281, 7.4529965)",12,153.2055665576592,8,75.82785519297047,5,504.18550645273217,41,213.45698199193185,47,130.14715673461498,35,1.7045334996860197,11,27.725373827196744,9,578.2320464234323,0,1000.0,26,85.38751499787645,3,126.53364690575678,0,1000.0,44,77.39681911133788,17,380.05353501334724,4,292.7742410179077,3,320.36590820544603,6,173.95530471783175,3,421.2024154839237,66,149.34272204223407,206,66.68788418288467,17,293.4468684882422,0,1000.0,19,48.79482027391887,61,241.4538168710528,7,413.02872490590556,3,422.61472553930287,28,164.849232980748,12,207.17027751192717,1,780.2594408773368,67,64.66406888728332,8,242.30811059323491,5,160.4660413455588,1,880.2551288836011,2,554.2516504846587,37,342.85957568658574,5,772.7151795117093,197,100.39486900200939,7,757.2165097215765,139,78.40743166707979,5,393.0715560375468,2,703.6981867694003,5,524.1499029629952,0,1000,11,194.39900407008201,0,1000.0,9,411.7176408476275,15,490.58044898416557,1,774.324204843272,44,371.73690108368913,0,1000.0,0,1000.0,13,107.8091988696646,11,550.3430684332036,0,1000.0,46,187.76800330873039,7,646.6697551820047,3,705.5848415454143,1334
216,46.9538192,7.4581813,"(46.9538192, 7.4581813)",11,515.7196463287266,8,479.90941332801384,2,752.6538521647659,30,531.6516481007067,26,42.63452992925507,31,2.959988861540382,7,136.23192227016565,9,597.9402374857125,0,1000.0,23,432.2836513503316,3,529.7294410585346,0,1000.0,33,497.03372777515517,10,172.7080582731366,4,167.84969842213374,3,588.6410222114878,5,59.51811578951787,2,167.40171051877178,65,122.86789346567879,179,16.388504490947188,17,241.79381123272944,0,1000.0,18,69.6761477885121,38,134.52218563568468,7,222.57081681422045,3,840.3277890482206,20,129.05033309998876,9,326.97216574328894,1,884.8138605110445,49,102.62151291152773,6,574.393729284067,5,177.59972258600072,0,1000.0,2,802.9781868936983,28,161.20921222774143,4,701.5603185538016,153,532.0983140737656,3,638.0068145244553,101,22.681711847025444,4,663.8637858368592,1,442.94728955345556,2,587.7178701193249,0,1000,11,81.64396826778722,0,1000.0,9,507.8325885141977,14,250.31533993426473,2,680.1622549440605,40,344.1012104936186,0,1000.0,0,1000.0,11,532.799031569239,4,739.3664953609656,0,1000.0,41,29.479201094808854,1,989.2913359087619,4,283.7696564630196,1059
334,46.520202,6.571784,"(46.520202, 6.571784)",4,231.35833270439826,1,500.1944262521833,1,963.3734897447682,4,304.86589714180616,64,31.9275336428313,14,2.7307432972658847,0,1000.0,2,377.8356041012782,0,1000.0,12,92.8455549136161,0,1000.0,1,617.1271742815379,0,1000.0,3,282.8433553812114,2,574.059775032208,0,1000.0,1,545.1298304223893,0,1000.0,7,289.68751863315947,9,252.33509931275574,1,832.8276692856448,0,1000.0,1,494.8759212084783,30,153.54062605571085,6,322.62625580164604,1,638.2251912741539,5,759.4262510598335,8,587.9948008987278,0,1000.0,3,486.3930747569391,1,899.9360823899697,2,640.8059383337821,0,1000.0,0,1000.0,2,613.7941685552269,0,1000.0,56,178.1333983096015,0,1000.0,23,201.4246963472138,0,1000.0,0,1000.0,0,1000.0,0,1000,3,548.1564405906475,0,1000.0,0,1000.0,14,235.40151578732986,0,1000.0,32,107.6361247002754,3,484.5867851248928,2,250.0820735389704,0,1000.0,12,231.42545799573736,0,1000.0,20,23.78697568404184,0,1000.0,5,419.3952251946367,355
9,46.519805,6.579676,"(46.519805, 6.579676)",2,834.1937941158218,1,557.9264860155203,1,413.8304343167782,3,573.2970677710279,39,36.50258736934543,7,2.4287939494394264,0,1000.0,2,543.44073930611,0,1000.0,5,557.1148955892614,0,1000.0,0,1000.0,0,1000.0,2,679.2927301588126,0,1000.0,0,1000.0,1,766.8127584758527,1,512.7705519956494,3,563.159544205703,7,415.80609427015054,0,1000.0,0,1000.0,0,1000.0,40,126.88874612794098,6,221.7136892828004,0,1000.0,1,895.9240872533699,4,733.2045431683107,0,1000.0,2,677.1412978167347,0,1000.0,1,772.0420633893531,0,1000.0,1,808.9023566364724,2,92.68644182233746,0,1000.0,49,544.1720598919168,0,1000.0,17,97.54678013748212,0,1000.0,0,1000.0,0,1000.0,0,1000,1,795.8875575166082,0,1000.0,0,1000.0,10,491.128812711252,1,558.6844467508133,13,304.43177404654756,3,578.8442637587467,1,562.4719060435633,0,1000.0,17,503.5697691424974,0,1000.0,18,158.52876678545843,0,1000.0,1,433.91050142668456,262
21,46.521043,6.573253,"(46.521043, 6.573253)",4,362.11371275022185,2,361.6761421669443,2,837.520321367756,4,348.3291491386636,64,16.634993264591063,14,4.0044396258544595,0,1000.0,2,522.631386066195,0,1000.0,12,184.71645407612255,0,1000.0,1,665.7905066005766,0,1000.0,3,396.1726626654268,2,628.1607774275539,0,1000.0,1,614.759200879213,1,979.6919185551644,6,405.4478600198212,11,112.68101045619646,1,741.8396748532222,0,1000.0,1,565.205989395424,31,88.23602530250746,6,293.82834774132635,1,773.2493517878494,5,656.0488296195691,9,652.5307315899536,0,1000.0,4,434.166836349157,1,858.6047193360411,2,656.9812733543278,0,1000.0,0,1000.0,2,537.7394796561916,0,1000.0,63,133.64153342506611,0,1000.0,23,59.155867456337255,0,1000.0,0,1000.0,0,1000.0,0,1000,3,610.0549212965175,0,1000.0,0,1000.0,16,350.01905232416016,0,1000.0,30,121.21254804996397,4,558.1347444552589,2,131.21402087551812,0,1000.0,14,104.74201571461741,0,1000.0,18,117.66156067069899,0,1000.0,6,559.8917478570526,371
114,46.9566007,7.4402185,"(46.9566007, 7.4402185)",28,24.462065570998746,15,263.3139355564686,5,841.4867263888314,22,344.1556200758975,113,201.98693588126707,46,0.6829508363760625,10,216.62131322566407,7,408.23281632173826,1,946.3845924318515,28,300.39740577838904,3,374.0918040820995,3,661.6288406159995,40,331.1844903751046,16,340.402551425399,4,216.5010615993978,3,321.6601128496366,5,417.8196838346906,3,319.44884062908477,66,205.82578915166627,213,210.34930080103197,13,544.438711155341,0,1000.0,12,505.79792364950987,68,165.02125911128067,21,340.3188514030121,4,568.3499542702043,16,119.71932282218285,10,228.94125879515738,1,993.474419683913,64,194.39131118166097,10,528.6388718072316,2,390.76523170847855,3,758.2234442820892,2,737.6264471606829,27,167.74743458301427,0,1000.0,224,201.23989202202907,7,347.1279063101663,153,33.914903258196965,4,396.4380863659225,0,1000.0,4,225.93862093124562,0,1000,15,495.3279367897343,0,1000.0,4,388.2664824221968,22,397.2171400579042,1,625.3332953807421,27,176.26177661276114,1,855.4888880828898,0,1000.0,8,818.6648414783277,33,167.7609174186883,0,1000.0,45,168.31470558711385,31,283.0169757258564,2,643.6393132129703,1465
217,46.9483305,7.44079,"(46.9483305, 7.44079)",40,23.358599599019307,22,27.505810162210047,16,23.337947637953572,56,107.04757033707703,128,84.55725405395023,55,9.947634368198289,8,212.74361134111118,15,103.91729507944024,0,1000.0,54,43.29779999692154,11,75.96723764970123,7,172.84288914243112,93,48.35436230219689,17,113.3076538732149,14,87.87555216916434,5,201.21432371076673,11,187.24442501900197,2,869.426610839771,176,69.24679443605775,392,26.3972679127226,45,96.98549697373089,0,1000.0,23,57.34648281153543,87,162.602709153951,21,143.36503858217634,5,240.20867076277497,25,99.52491846968695,15,243.21399878402715,1,587.90676410577,87,56.82238263282567,17,90.43045182937058,6,741.7402712068665,2,101.09903646210395,4,208.68945631938578,41,8.321991984180316,9,468.43944444884994,525,61.31057128395879,13,311.1047859285546,246,41.253868762892616,7,319.69814992120416,4,90.1269987057725,6,397.7298775614623,0,1000,24,85.00127551635357,0,1000.0,13,178.64307530480568,23,307.0862314152442,2,347.1017977767656,54,48.48046679817079,1,90.30101182624364,2,289.05296576973296,30,77.93342664179755,44,43.50510322948614,0,1000.0,71,40.99876026216253,30,310.0485847511326,4,309.17171451986746,2609
152,47.389823,8.49163,"(47.389823, 8.49163)",11,81.0342871677897,4,317.1993952079064,6,417.22506648642957,4,223.77740897186803,135,77.43844546264745,9,13.399357455362923,4,554.1356549139646,2,392.12668496868025,0,1000.0,14,118.12097705149975,0,1000.0,1,453.5670684692661,13,374.913541577356,13,73.92686183508008,7,209.4453537852343,2,639.074641767498,14,173.67442523416184,8,64.07337680290586,95,48.88587554835094,125,55.576143947711785,5,91.5755139285915,0,1000.0,3,545.0711380044061,61,55.441312211473615,1,514.6410701045668,1,835.2926511005652,52,124.70121447601719,11,225.01394557135424,0,1000.0,21,168.61323347918486,5,243.36808087387007,12,63.12649589089703,1,526.324513234696,2,344.80340085980913,11,306.204228140969,0,1000.0,560,97.88684269189352,1,895.3536469385355,80,178.3104133632087,14,36.44816252033304,2,332.73274494499145,5,198.97063800467274,0,1000,15,290.28665980413234,0,1000.0,2,494.8038800610104,11,200.3351732491212,0,1000.0,47,89.27945248831558,1,239.75177412001608,0,1000.0,29,262.71473853670193,22,170.08254325895976,0,1000.0,42,168.90474521906148,0,1000.0,0,1000.0,1484
455,47.385711,8.499287,"(47.385711, 8.499287)",9,94.73478995644518,2,833.8514943360717,5,88.73256608080936,4,290.17627114513937,154,7.52639388015804,13,2.748013813622722,5,203.35233511074716,2,83.70022234466676,0,1000.0,13,57.310281059321056,0,1000.0,2,287.77217458188875,12,33.59226267094742,13,224.40188906776052,6,260.3205492973038,2,73.32558114091002,12,221.50075275826043,9,207.4337909794625,122,135.99034330553178,133,26.272795147514003,3,251.09962618281355,0,1000.0,4,375.9341768405591,60,120.6840204869862,1,933.2134016782353,1,860.1243282150283,64,250.82445512459498,11,215.58087629870153,0,1000.0,19,22.941099733629386,4,62.16496024260483,14,133.6448199660209,0,1000.0,1,945.6166970883396,7,50.73298387544595,0,1000.0,662,213.96767025169655,2,776.517629682312,75,53.77757986427415,14,232.57894256269694,2,112.92332249966856,2,467.59720675569076,0,1000,14,38.93742984707784,0,1000.0,2,820.5732286028469,16,247.3807965120881,0,1000.0,34,94.2589753922625,1,974.7008209090935,0,1000.0,22,274.18077969425366,24,203.8711507745529,0,1000.0,30,209.6371630021097,0,1000.0,0,1000.0,1607
