station_id,lat,lon,coords
122,46.9613082,7.4466679,"(46.9613082, 7.4466679)"
462,46.9558281,7.4529965,"(46.9558281, 7.4529965)"
216,46.9538192,7.4581813,"(46.9538192, 7.4581813)"
334,46.520202,6.571784,"(46.520202, 6.571784)"
9,46.519805,6.579676,"(46.519805, 6.579676)"
21,46.521043,6.573253,"(46.521043, 6.573253)"
114,46.9566007,7.4402185,"(46.9566007, 7.4402185)"
217,46.9483305,7.44079,"(46.9483305, 7.44079)"
152,47.389823,8.49163,"(47.389823, 8.49163)"
455,47.385711,8.499287,"(47.385711, 8.499287)"
43,46.005849,8.961709,"(46.005849, 8.961709)"
546,46.939462,7.46973,"(46.939462, 7.46973)"
261,46.9366583,7.4679887,"(46.9366583, 7.4679887)"
266,47.375819,8.516676,"(47.375819, 8.516676)"
124,47.37209,8.520482,"(47.37209, 8.520482)"
890,47.012883,7.469947,"(47.012883, 7.469947)"
889,47.015385,7.48331,"(47.015385, 7.48331)"
506,46.803943,7.151989,"(46.803943, 7.151989)"
510,46.808006,7.155941,"(46.808006, 7.155941)"
219,46.9514853,7.4303815,"(46.9514853, 7.4303815)"
309,46.9405957,7.418738,"(46.9405957, 7.418738)"
171,46.41609,6.278163,"(46.41609, 6.278163)"
218,46.961965,7.452968,"(46.961965, 7.452968)"
188,46.95518301852439,7.451799078591182,"(46.95518301852439, 7.451799078591182)"
505,46.811754,7.150142,"(46.811754, 7.150142)"
415,46.916092,7.418571,"(46.916092, 7.418571)"
413,46.9250228,7.4154375,"(46.9250228, 7.4154375)"
636,46.806876,7.15297,"(46.806876, 7.15297)"
635,46.802118,7.146355,"(46.802118, 7.146355)"
507,46.804568,7.155553,"(46.804568, 7.155553)"
535,46.802937,7.167527,"(46.802937, 7.167527)"
211,46.383066,6.225766,"(46.383066, 6.225766)"
732,46.388983510293066,6.223670386094328,"(46.388983510293066, 6.223670386094328)"
707,45.86839596516475,8.97806954826163,"(45.86839596516475, 8.97806954826163)"
688,45.86552127511925,8.977682352126578,"(45.86552127511925, 8.977682352126578)"
195,46.9543451,7.4453536,"(46.9543451, 7.4453536)"
677,46.949100687820106,7.433277786246504,"(46.949100687820106, 7.433277786246504)"
229,46.9412568,7.4507099,"(46.9412568, 7.4507099)"
251,46.9487682,7.4475691,"(46.9487682, 7.4475691)"
378,46.0082843,8.9512745,"(46.0082843, 8.9512745)"
543,46.517338,6.59775,"(46.517338, 6.59775)"
317,46.9460279,7.4332165,"(46.9460279, 7.4332165)"
867,46.9477816,7.4365087,"(46.9477816, 7.4365087)"
146,46.004469,8.947096,"(46.004469, 8.947096)"
381,46.012252,8.955118,"(46.012252, 8.955118)"
497,46.9579458,7.4537747,"(46.9579458, 7.4537747)"
119,46.95752776631194,7.440576239521807,"(46.95752776631194, 7.440576239521807)"
226,46.9557805,7.4352658,"(46.9557805, 7.4352658)"
165,46.38421,6.23491,"(46.38421, 6.23491)"
88,47.364946,8.525788,"(47.364946, 8.525788)"
105,47.377359,8.535855,"(47.377359, 8.535855)"
249,46.000482,8.912639,"(46.000482, 8.912639)"
210,45.996253,8.900957,"(45.996253, 8.900957)"
49,46.005707,8.95184,"(46.005707, 8.95184)"
646,46.798038,7.119618,"(46.798038, 7.119618)"
777,46.80799726436817,7.143350342709623,"(46.80799726436817, 7.143350342709623)"
228,46.9534206,7.4328277,"(46.9534206, 7.4328277)"
250,46.9490849,7.4444363,"(46.9490849, 7.4444363)"
220,46.9559178,7.4467885,"(46.9559178, 7.4467885)"
353,46.94831,7.44035,"(46.94831, 7.44035)"
92,47.3820827,8.5286468,"(47.3820827, 8.5286468)"
392,47.393309,8.528074,"(47.393309, 8.528074)"
7,46.522591,6.584961,"(46.522591, 6.584961)"
290,46.946888089472424,7.445830418186601,"(46.946888089472424, 7.445830418186601)"
292,46.946604,7.441624,"(46.946604, 7.441624)"
253,46.9534004,7.4285549,"(46.9534004, 7.4285549)"
230,46.9547361,7.4333909,"(46.9547361, 7.4333909)"
189,46.9618565,7.4592662,"(46.9618565, 7.4592662)"
223,46.9506632,7.4370414,"(46.9506632, 7.4370414)"
204,46.9515508,7.4345382,"(46.9515508, 7.4345382)"
237,46.806661,7.1620248,"(46.806661, 7.1620248)"
567,47.381447,8.497982,"(47.381447, 8.497982)"
97,47.3771535,8.5104883,"(47.3771535, 8.5104883)"
500,46.794595,7.132707,"(46.794595, 7.132707)"
513,47.380338,8.537684,"(47.380338, 8.537684)"
702,47.377779,8.546183,"(47.377779, 8.546183)"
591,46.9475569,7.4266947,"(46.9475569, 7.4266947)"
307,46.948011846616254,7.421892556487192,"(46.948011846616254, 7.421892556487192)"
553,46.944672,7.422308,"(46.944672, 7.422308)"
236,46.8104076,7.1730614,"(46.8104076, 7.1730614)"
321,46.93965162143165,7.440241261842887,"(46.93965162143165, 7.440241261842887)"
300,46.9371912,7.4360892,"(46.9371912, 7.4360892)"
393,47.415721,8.538067,"(47.415721, 8.538067)"
387,47.411057,8.543768,"(47.411057, 8.543768)"
34,46.532879,6.566487,"(46.532879, 6.566487)"
647,46.80007,7.140663,"(46.80007, 7.140663)"
637,46.79427,7.155003,"(46.79427, 7.155003)"
812,46.79364606401284,7.150040893601194,"(46.79364606401284, 7.150040893601194)"
187,46.947127654625206,7.46573539047808,"(46.947127654625206, 7.46573539047808)"
683,46.948471616973904,7.450529302235038,"(46.948471616973904, 7.450529302235038)"
213,46.9503428,7.435298,"(46.9503428, 7.435298)"
259,46.9539295,7.4267524,"(46.9539295, 7.4267524)"
461,46.9470671,7.3957642,"(46.9470671, 7.3957642)"
174,46.9436036,7.4071777,"(46.9436036, 7.4071777)"
234,46.815219,7.155715,"(46.815219, 7.155715)"
883,46.96079848478852,7.433964120753491,"(46.96079848478852, 7.433964120753491)"
222,46.9534366,7.4239308,"(46.9534366, 7.4239308)"
163,46.3995398,6.2321083,"(46.3995398, 6.2321083)"
233,46.802604,7.1509925,"(46.802604, 7.1509925)"
811,46.417503,6.271244,"(46.417503, 6.271244)"
590,46.946544688600916,7.4207811103582495,"(46.946544688600916, 7.4207811103582495)"
668,46.93369386095887,7.423407106637636,"(46.93369386095887, 7.423407106637636)"
331,46.9458073,7.4270475,"(46.9458073, 7.4270475)"
596,46.9446088,7.4290739,"(46.9446088, 7.4290739)"
306,46.9400198,7.4317782,"(46.9400198, 7.4317782)"
480,46.9371088,7.4322402,"(46.9371088, 7.4322402)"
771,47.403145,8.609221,"(47.403145, 8.609221)"
532,47.412103,8.592144,"(47.412103, 8.592144)"
325,46.9360173,7.4300596,"(46.9360173, 7.4300596)"
214,46.94626,7.43804,"(46.94626, 7.43804)"
194,46.95860113643669,7.456935120256138,"(46.95860113643669, 7.456935120256138)"
501,46.803797,7.161559,"(46.803797, 7.161559)"
252,46.9497908,7.4441278,"(46.9497908, 7.4441278)"
549,46.951735,7.416496,"(46.951735, 7.416496)"
349,46.93874927649203,7.475214965129108,"(46.93874927649203, 7.475214965129108)"
815,46.96526082670581,7.481022157938033,"(46.96526082670581, 7.481022157938033)"
814,46.96629170335004,7.48318298315503,"(46.96629170335004, 7.48318298315503)"
348,46.97179532778565,7.44576189083437,"(46.97179532778565, 7.44576189083437)"
471,46.94774434260293,7.40357158919319,"(46.94774434260293, 7.40357158919319)"
308,46.9465416,7.4356627,"(46.9465416, 7.4356627)"
359,47.393365,8.512551,"(47.393365, 8.512551)"
149,47.392336,8.491061,"(47.392336, 8.491061)"
235,46.793372,7.1584206,"(46.793372, 7.1584206)"
271,46.947856328360984,7.436903989490435,"(46.947856328360984, 7.436903989490435)"
414,46.926197,7.417231,"(46.926197, 7.417231)"
670,46.9313589644514,7.446041234885444,"(46.9313589644514, 7.446041234885444)"
244,46.9603536,7.4485856,"(46.9603536, 7.4485856)"
416,46.93046,7.428167,"(46.93046, 7.428167)"
550,46.958014,7.444949,"(46.958014, 7.444949)"
499,46.801805,7.136609,"(46.801805, 7.136609)"
632,46.79816,7.147493,"(46.79816, 7.147493)"
457,46.9525271,7.4498355,"(46.9525271, 7.4498355)"
302,46.938576,7.437862,"(46.938576, 7.437862)"
315,46.9424453,7.4431193,"(46.9424453, 7.4431193)"
305,46.9413996,7.4316924,"(46.9413996, 7.4316924)"
422,46.92775,7.453419,"(46.92775, 7.453419)"
486,46.9503044,7.4145806,"(46.9503044, 7.4145806)"
85,47.3716661,8.5235479,"(47.3716661, 8.5235479)"
660,47.3525,8.527157,"(47.3525, 8.527157)"
563,47.360004,8.534227,"(47.360004, 8.534227)"
753,46.3221235178547,6.187826521431379,"(46.3221235178547, 6.187826521431379)"
755,46.3176389,6.188055555555556,"(46.3176389, 6.188055555555556)"
212,46.958717,7.4646494,"(46.958717, 7.4646494)"
203,46.9569128,7.4376583,"(46.9569128, 7.4376583)"
311,46.9442197,7.4366739,"(46.9442197, 7.4366739)"
28,46.515862,6.630461,"(46.515862, 6.630461)"
823,46.95611252733205,7.498312728132974,"(46.95611252733205, 7.498312728132974)"
256,46.9555118,7.4768856,"(46.9555118, 7.4768856)"
412,46.9266467,7.4359484,"(46.9266467, 7.4359484)"
547,46.942351,7.452777,"(46.942351, 7.452777)"
192,46.9677817,7.4646494,"(46.9677817, 7.4646494)"
117,46.95675,7.46789,"(46.95675, 7.46789)"
170,46.420278,6.270556,"(46.420278, 6.270556)"
478,46.9406928,7.4431488,"(46.9406928, 7.4431488)"
86,47.40781197,8.506822854,"(47.40781197, 8.506822854)"
196,46.9665865,7.4639627,"(46.9665865, 7.4639627)"
330,46.9427163,7.4410406,"(46.9427163, 7.4410406)"
38,46.526347,6.603215,"(46.526347, 6.603215)"
417,46.92903811738819,7.417226193945767,"(46.92903811738819, 7.417226193945767)"
6,46.518108,6.564945,"(46.518108, 6.564945)"
166,46.425927,6.28774,"(46.425927, 6.28774)"
738,46.41916420448668,6.288709722973113,"(46.41916420448668, 6.288709722973113)"
141,47.366752,8.544935,"(47.366752, 8.544935)"
318,46.9410334,7.4359176,"(46.9410334, 7.4359176)"
231,46.9524539,7.4354213,"(46.9524539, 7.4354213)"
225,46.95560612233403,7.428042090100739,"(46.95560612233403, 7.428042090100739)"
634,46.805413,7.165191,"(46.805413, 7.165191)"
733,46.461609,6.346166,"(46.461609, 6.346166)"
764,46.470818,6.336435,"(46.470818, 6.336435)"
459,46.958241,7.4474859,"(46.958241, 7.4474859)"
594,46.9644796,7.466948,"(46.9644796, 7.466948)"
832,46.025237,8.963681,"(46.025237, 8.963681)"
48,46.0105808,8.95794,"(46.0105808, 8.95794)"
586,46.020198,8.97169,"(46.020198, 8.97169)"
