config_name,radius,gnn_type,training_samples,test_rmse,test_mae,test_r2,num_stations,num_features,config
GCN_Baseline,500,GCN,25428,0.2556663720534789,0.16069141209125518,-0.15895910991113316,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GCN', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GCN_Baseline,1000,GCN,25428,0.2750331027516351,0.14155963122844695,-0.34119162427644456,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GCN', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GCN_Baseline,1500,GCN,25428,0.2819541229833581,0.14632989525794982,-0.40954126715096795,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GCN', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GraphSAGE_Baseline,500,GraphSAGE,25428,0.24796466292593558,0.12062009155750275,-0.09018571028320621,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GraphSAGE', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GraphSAGE_Baseline,1000,GraphSAGE,25428,0.2601131951521418,0.14662577390670775,-0.1996254307137626,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GraphSAGE', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GraphSAGE_Baseline,1500,GraphSAGE,25428,0.2686368169439654,0.1565691512823105,-0.27953438684017007,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GraphSAGE', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GAT_Baseline,500,GAT,25428,0.35813426744321253,0.2759666299819946,-1.274116197111462,714,115,"{'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GAT', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GAT_Baseline,1000,GAT,25428,0.300374815661501,0.18131962835788726,-0.5997345724056862,714,115,"{'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GAT', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
GAT_Baseline,1500,GAT,25428,0.2589905729789223,0.12367501497268676,-0.1892928526941573,714,115,"{'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 30, 'attention_heads': 4, 'gnn_type': 'GAT', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False}"
