config_name,radius,gnn_type,training_samples,test_rmse,test_mae,test_r2,num_stations,num_features,config
GCN_Baseline,500,GCN,30000,0.6467933689329737,0.5254337841272354,-1.8831265478681316,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GCN', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GCN_Baseline,1000,GCN,30000,0.8657656189818668,0.6019961971789598,-1.0390372878429126,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GCN', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GCN_Baseline,1500,GCN,30000,0.7605952916546638,0.5765681532770395,-1.4817897798680528,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GCN', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GraphSAGE_Baseline,500,GraphSAGE,30000,0.58556536504362,0.5137766440212727,-5.0795531336643265,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GraphSAGE', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GraphSAGE_Baseline,1000,GraphSAGE,30000,0.927502255808052,0.6392876041680574,-0.8464486682314343,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GraphSAGE', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GraphSAGE_Baseline,1500,GraphSAGE,30000,0.5911166708321896,0.5010269519686699,-2.733108104014222,714,115,"{'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.2, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GraphSAGE', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GAT_Baseline,500,GAT,30000,0.7937649382131754,0.6399534925818443,-1.7029720168878861,714,115,"{'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GAT', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GAT_Baseline,1000,GAT,30000,0.8478035941662383,0.7048886732757091,-2.2508861794716952,714,115,"{'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GAT', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
GAT_Baseline,1500,GAT,30000,0.8322402924850942,0.6684280854463577,-1.911407752987285,714,115,"{'hidden_dim': 32, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.01, 'batch_size': 32, 'epochs': 100, 'attention_heads': 4, 'gnn_type': 'GAT', 'edge_features': True, 'use_batch_norm': True, 'use_residual': False, 'time_emb_dim': 2, 'log_labels': True, 'max_train_samples': 20000, 'negative_sample_ratio': 0.5}"
